STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER
13,031,00350302,0500000US13031,13031,Bulloch,Bulloch County,GA,Georgia,06,1750735216,32827779
13,179,00357095,0500000US13179,13179,Liberty,Liberty County,GA,Georgia,06,1337654102,222884791
13,189,00348794,0500000US13189,13189,McDuffie,McDuffie County,GA,Georgia,06,666590014,23114032
13,209,00352276,0500000US13209,13209,Montgomery,Montgomery County,GA,Georgia,06,624563058,9191488
13,245,00358024,0500000US13245,13245,Richmond,Richmond County,GA,Georgia,06,840036613,10995252
13,049,00357747,0500000US13049,13049,Charlton,Charlton County,GA,Georgia,06,2020415648,5963237
13,141,00348209,0500000US13141,13141,Hancock,Hancock County,GA,Georgia,06,1220057418,17479620
13,315,00345499,0500000US13315,13315,Wilcox,Wilcox County,GA,Georgia,06,978525378,11147628
13,177,00343390,0500000US13177,13177,Lee,Lee County,GA,Georgia,06,921731096,15310679
13,279,00345220,0500000US13279,13279,Toombs,Toombs County,GA,Georgia,06,942788867,18076118
13,007,00342832,0500000US13007,13007,Baker,Baker County,GA,Georgia,06,885665381,18598653
34,015,00882277,0500000US34015,34015,Gloucester,Gloucester County,NJ,New Jersey,06,833976887,38259771
34,023,00882230,0500000US34023,34023,Middlesex,Middlesex County,NJ,New Jersey,06,800881307,35356734
34,035,00882234,0500000US34035,34035,Somerset,Somerset County,NJ,New Jersey,06,781829190,7996119
34,031,00882232,0500000US34031,34031,Passaic,Passaic County,NJ,New Jersey,06,481772300,32052581
34,021,00882229,0500000US34021,34021,Mercer,Mercer County,NJ,New Jersey,06,581297767,11434809
34,009,00882274,0500000US34009,34009,Cape May,Cape May County,NJ,New Jersey,06,651437935,955149083
28,059,00695753,0500000US28059,28059,Jackson,Jackson County,MS,Mississippi,06,1872109197,830292614
51,147,01492359,0500000US51147,51147,Prince Edward,Prince Edward County,VA,Virginia,06,906356801,10079281
51,029,01501502,0500000US51029,51029,Buckingham,Buckingham County,VA,Virginia,06,1501215440,9911855
51,139,01500440,0500000US51139,51139,Page,Page County,VA,Virginia,06,802949683,8369917
51,153,01480161,0500000US51153,51153,Prince William,Prince William County,VA,Virginia,06,868309976,30837608
51,171,01673918,0500000US51171,51171,Shenandoah,Shenandoah County,VA,Virginia,06,1315919346,9716893
51,061,01480120,0500000US51061,51061,Fauquier,Fauquier County,VA,Virginia,06,1678296041,9665551
33,017,00873182,0500000US33017,33017,Strafford,Strafford County,NH,New Hampshire,06,951743430,39154073
51,001,01480091,0500000US51001,51001,Accomack,Accomack County,VA,Virginia,06,1163725929,2229259960
51,119,01480147,0500000US51119,51119,Middlesex,Middlesex County,VA,Virginia,06,337554148,208310589
22,075,00558125,0500000US22075,22075,Plaquemines,Plaquemines Parish,LA,Louisiana,15,2020635364,4628476563
22,107,00559509,0500000US22107,22107,Tensas,Tensas Parish,LA,Louisiana,15,1561795836,99432220
51,193,01480179,0500000US51193,51193,Westmoreland,Westmoreland County,VA,Virginia,06,593951804,61108785
23,027,00581299,0500000US23027,23027,Waldo,Waldo County,ME,Maine,06,1890616317,318014823
51,091,01673774,0500000US51091,51091,Highland,Highland County,VA,Virginia,06,1075266904,1791758
51,083,01496705,0500000US51083,51083,Halifax,Halifax County,VA,Virginia,06,2117913134,30524581
23,023,00581297,0500000US23023,23023,Sagadahoc,Sagadahoc County,ME,Maine,06,657782142,300590925
24,041,00592947,0500000US24041,24041,Talbot,Talbot County,MD,Maryland,06,695561637,539363457
24,033,01714670,0500000US24033,24033,Prince George's,Prince George's County,MD,Maryland,06,1250057213,41922695
24,035,00596089,0500000US24035,24035,Queen Anne's,Queen Anne's County,MD,Maryland,06,962673214,360020725
24,023,01711058,0500000US24023,24023,Garrett,Garrett County,MD,Maryland,06,1681102437,22498420
51,165,01488970,0500000US51165,51165,Rockingham,Rockingham County,VA,Virginia,06,2200944584,10646757
37,083,01008559,0500000US37083,37083,Halifax,Halifax County,NC,North Carolina,06,1874472930,16919664
37,179,01008590,0500000US37179,37179,Union,Union County,NC,North Carolina,06,1638778990,17891392
37,129,01026329,0500000US37129,37129,New Hanover,New Hanover County,NC,North Carolina,06,497937486,353803887
37,163,01026131,0500000US37163,37163,Sampson,Sampson County,NC,North Carolina,06,2449946536,4923828
37,031,01026337,0500000US37031,37031,Carteret,Carteret County,NC,North Carolina,06,1314689449,2131061128
37,183,01008592,0500000US37183,37183,Wake,Wake County,NC,North Carolina,06,2161570492,58082284
37,119,01008570,0500000US37119,37119,Mecklenburg,Mecklenburg County,NC,North Carolina,06,1356130079,58209535
37,141,01026129,0500000US37141,37141,Pender,Pender County,NC,North Carolina,06,2256645359,162833419
37,047,01026339,0500000US37047,37047,Columbus,Columbus County,NC,North Carolina,06,2429722353,43711694
37,093,01008563,0500000US37093,37093,Hoke,Hoke County,NC,North Carolina,06,1010491623,3949309
37,105,01008567,0500000US37105,37105,Lee,Lee County,NC,North Carolina,06,660607451,10725289
37,015,01026334,0500000US37015,37015,Bertie,Bertie County,NC,North Carolina,06,1810858588,109120751
36,081,00974139,0500000US36081,36081,Queens,Queens County,NY,New York,06,281594050,188444349
12,119,00295740,0500000US12119,12119,Sumter,Sumter County,FL,Florida,06,1442967719,58773420
12,069,00308551,0500000US12069,12069,Lake,Lake County,FL,Florida,06,2464507354,531492923
09,009,00212798,0500000US09009,09009,New Haven,New Haven County,CT,Connecticut,06,1565143226,667604268
09,007,00212797,0500000US09007,09007,Middlesex,Middlesex County,CT,Connecticut,06,956493753,180679141
12,079,00295731,0500000US12079,12079,Madison,Madison County,FL,Florida,06,1804001483,49634046
12,127,00306921,0500000US12127,12127,Volusia,Volusia County,FL,Florida,06,2852384800,857611281
12,099,00295761,0500000US12099,12099,Palm Beach,Palm Beach County,FL,Florida,06,5087510105,1084950939
12,113,00306914,0500000US12113,12113,Santa Rosa,Santa Rosa County,FL,Florida,06,2622106399,543294939
12,125,00306913,0500000US12125,12125,Union,Union County,FL,Florida,06,630804540,16049423
12,093,00295760,0500000US12093,12093,Okeechobee,Okeechobee County,FL,Florida,06,1992126184,317924583
42,033,01209175,0500000US42033,42033,Clearfield,Clearfield County,PA,Pennsylvania,06,2966379119,23934013
42,097,01209186,0500000US42097,42097,Northumberland,Northumberland County,PA,Pennsylvania,06,1185344304,50674892
42,061,01213672,0500000US42061,42061,Huntingdon,Huntingdon County,PA,Pennsylvania,06,2265337347,37851956
01,097,00161575,0500000US01097,01097,Mobile,Mobile County,AL,Alabama,06,3184064139,1074011171
01,041,00161546,0500000US01041,01041,Crenshaw,Crenshaw County,AL,Alabama,06,1576952763,5388562
01,065,00161558,0500000US01065,01065,Hale,Hale County,AL,Alabama,06,1667926655,32403804
01,109,00161581,0500000US01109,01109,Pike,Pike County,AL,Alabama,06,1740645369,2339145
36,025,00974111,0500000US36025,36025,Delaware,Delaware County,NY,New York,06,3736306657,64163829
36,115,00974155,0500000US36115,36115,Washington,Washington County,NY,New York,06,2152713650,38126949
48,029,01383800,0500000US48029,48029,Bexar,Bexar County,TX,Texas,06,3212413223,40802184
48,201,01383886,0500000US48201,48201,Harris,Harris County,TX,Texas,06,4421015900,182431712
48,471,01384021,0500000US48471,48471,Walker,Walker County,TX,Texas,06,2031126325,44745757
48,321,01383943,0500000US48321,48321,Matagorda,Matagorda County,TX,Texas,06,2830645444,1345742564
48,473,01384022,0500000US48473,48473,Waller,Waller County,TX,Texas,06,1329431564,11827973
48,215,01383893,0500000US48215,48215,Hidalgo,Hidalgo County,TX,Texas,06,4068758841,30739605
48,187,01383879,0500000US48187,48187,Guadalupe,Guadalupe County,TX,Texas,06,1842136053,9157037
48,071,01383821,0500000US48071,48071,Chambers,Chambers County,TX,Texas,06,1546425540,709836144
48,351,01383961,0500000US48351,48351,Newton,Newton County,TX,Texas,06,2418212546,15672146
48,057,01383814,0500000US48057,48057,Calhoun,Calhoun County,TX,Texas,06,1312960774,1361631001
48,455,01384013,0500000US48455,48455,Trinity,Trinity County,TX,Texas,06,1796920726,52260791
01,131,00161591,0500000US01131,01131,Wilcox,Wilcox County,AL,Alabama,06,2299540559,50592191
01,035,00161543,0500000US01035,01035,Conecuh,Conecuh County,AL,Alabama,06,2202213384,6426488
48,273,01383922,0500000US48273,48273,Kleberg,Kleberg County,TX,Texas,06,2282572444,541041659
45,063,01244251,0500000US45063,45063,Lexington,Lexington County,SC,South Carolina,06,1810397035,151833121
45,051,01248005,0500000US45051,45051,Horry,Horry County,SC,South Carolina,06,2935248129,314476303
45,013,01247984,0500000US45013,45013,Beaufort,Beaufort County,SC,South Carolina,06,1491928837,899873956
45,069,01248011,0500000US45069,45069,Marlboro,Marlboro County,SC,South Carolina,06,1242867261,14489019
45,087,01248017,0500000US45087,45087,Union,Union County,SC,South Carolina,06,1330180037,4792745
45,027,01247990,0500000US45027,45027,Clarendon,Clarendon County,SC,South Carolina,06,1572656992,229097204
45,061,01245652,0500000US45061,45061,Lee,Lee County,SC,South Carolina,06,1062372306,2715077
45,039,01248000,0500000US45039,45039,Fairfield,Fairfield County,SC,South Carolina,06,1777521260,61063162
45,017,01247986,0500000US45017,45017,Calhoun,Calhoun County,SC,South Carolina,06,987179024,29351080
45,043,01248002,0500000US45043,45043,Georgetown,Georgetown County,SC,South Carolina,06,2107246447,572958789
22,103,01629503,0500000US22103,22103,St. Tammany,St. Tammany Parish,LA,Louisiana,15,2189206640,648444271
54,001,01696996,0500000US54001,54001,Barbour,Barbour County,WV,West Virginia,06,883338376,4639586
54,037,01550025,0500000US54037,54037,Jefferson,Jefferson County,WV,West Virginia,06,542072983,6150170
54,049,01718173,0500000US54049,54049,Marion,Marion County,WV,West Virginia,06,799667746,7160908
12,045,00306917,0500000US12045,12045,Gulf,Gulf County,FL,Florida,06,1433437353,624436316
12,123,00295728,0500000US12123,12123,Taylor,Taylor County,FL,Florida,06,2702224058,1213576997
25,027,00606940,0500000US25027,25027,Worcester,Worcester County,MA,Massachusetts,06,3912627580,177366263
37,055,01026133,0500000US37055,37055,Dare,Dare County,NC,North Carolina,06,992558307,3000513520
72,113,01804537,0500000US72113,72113,Ponce,Ponce Municipio,PR,Puerto Rico,13,297688619,203748553
72,097,01804529,0500000US72097,72097,Mayagüez,Mayagüez Municipio,PR,Puerto Rico,13,201174435,508705765
72,037,01804498,0500000US72037,72037,Ceiba,Ceiba Municipio,PR,Puerto Rico,13,75201649,336178484
48,405,01383988,0500000US48405,48405,San Augustine,San Augustine County,TX,Texas,06,1374400363,159644688
22,019,00558468,0500000US22019,22019,Calcasieu,Calcasieu Parish,LA,Louisiana,15,2755963714,77908794
22,005,00558403,0500000US22005,22005,Ascension,Ascension Parish,LA,Louisiana,15,751016878,32969822
22,071,00558113,0500000US22071,22071,Orleans,Orleans Parish,LA,Louisiana,15,438975285,467122070
22,113,00559538,0500000US22113,22113,Vermilion,Vermilion Parish,LA,Louisiana,15,3039634850,954699331
22,043,00558567,0500000US22043,22043,Grant,Grant Parish,LA,Louisiana,15,1665848458,56005520
28,001,00695726,0500000US28001,28001,Adams,Adams County,MS,Mississippi,06,1197464268,65273639
28,121,00695781,0500000US28121,28121,Rankin,Rankin County,MS,Mississippi,06,2008521126,79231033
28,039,00695744,0500000US28039,28039,George,George County,MS,Mississippi,06,1239816906,12838126
25,011,00606932,0500000US25011,25011,Franklin,Franklin County,MA,Massachusetts,06,1810941373,65609400
51,075,01674271,0500000US51075,51075,Goochland,Goochland County,VA,Virginia,06,730451418,21934893
51,093,01702378,0500000US51093,51093,Isle of Wight,Isle of Wight County,VA,Virginia,06,817620587,122100069
51,137,01494761,0500000US51137,51137,Orange,Orange County,VA,Virginia,06,883388069,6487125
51,023,01674418,0500000US51023,51023,Botetourt,Botetourt County,VA,Virginia,06,1401898974,12126225
51,009,01480095,0500000US51009,51009,Amherst,Amherst County,VA,Virginia,06,1227554631,12898694
51,007,01497770,0500000US51007,51007,Amelia,Amelia County,VA,Virginia,06,920379345,8188217
51,097,01480136,0500000US51097,51097,King and Queen,King and Queen County,VA,Virginia,06,816232787,28929275
51,081,01501122,0500000US51081,51081,Greensville,Greensville County,VA,Virginia,06,764634552,4086108
78,010,02378248,0500000US78010,78010,St. Croix,St. Croix Island,VI,United States Virgin Islands,10,215914981,645644854
78,020,02378249,0500000US78020,78020,St. John,St. John Island,VI,United States Virgin Islands,10,50998053,186670411
23,021,00581296,0500000US23021,23021,Piscataquis,Piscataquis County,ME,Maine,06,10258805117,1080258051
13,073,00348865,0500000US13073,13073,Columbia,Columbia County,GA,Georgia,06,751591130,45353300
13,205,00343645,0500000US13205,13205,Mitchell,Mitchell County,GA,Georgia,06,1326483085,4314212
34,007,00882273,0500000US34007,34007,Camden,Camden County,NJ,New Jersey,06,573315345,15699106
34,027,00882231,0500000US34027,34027,Morris,Morris County,NJ,New Jersey,06,1193911893,53230151
34,017,00882278,0500000US34017,34017,Hudson,Hudson County,NJ,New Jersey,06,119640822,41836491
34,001,00882270,0500000US34001,34001,Atlantic,Atlantic County,NJ,New Jersey,06,1438774368,301270979
34,025,00882910,0500000US34025,34025,Monmouth,Monmouth County,NJ,New Jersey,06,1212585330,500431205
34,011,00882275,0500000US34011,34011,Cumberland,Cumberland County,NJ,New Jersey,06,1251898249,503713126
34,019,00882228,0500000US34019,34019,Hunterdon,Hunterdon County,NJ,New Jersey,06,1108086284,24761598
51,107,01480141,0500000US51107,51107,Loudoun,Loudoun County,VA,Virginia,06,1335755878,14493733
13,319,00346824,0500000US13319,13319,Wilkinson,Wilkinson County,GA,Georgia,06,1163459876,7084800
13,021,01672039,0500000US13021,13021,Bibb,Bibb County,GA,Georgia,06,645898113,14305197
13,025,00351605,0500000US13025,13025,Brantley,Brantley County,GA,Georgia,06,1147972258,10291563
13,301,00347777,0500000US13301,13301,Warren,Warren County,GA,Georgia,06,736483608,6034478
13,183,00326719,0500000US13183,13183,Long,Long County,GA,Georgia,06,1037006567,8862019
13,277,00344090,0500000US13277,13277,Tift,Tift County,GA,Georgia,06,675702087,20458524
13,265,00347654,0500000US13265,13265,Taliaferro,Taliaferro County,GA,Georgia,06,504029143,1917633
37,069,01008553,0500000US37069,37069,Franklin,Franklin County,NC,North Carolina,06,1273761673,7173998
37,123,01008572,0500000US37123,37123,Montgomery,Montgomery County,NC,North Carolina,06,1273075626,25886753
37,155,01026130,0500000US37155,37155,Robeson,Robeson County,NC,North Carolina,06,2453481924,5076395
37,167,01025844,0500000US37167,37167,Stanly,Stanly County,NC,North Carolina,06,1023250040,25187035
37,065,01008551,0500000US37065,37065,Edgecombe,Edgecombe County,NC,North Carolina,06,1309074148,3705924
37,041,01025822,0500000US37041,37041,Chowan,Chowan County,NC,North Carolina,06,447179939,157966156
37,007,01008534,0500000US37007,37007,Anson,Anson County,NC,North Carolina,06,1376478143,14603213
36,047,00974122,0500000US36047,36047,Kings,Kings County,NY,New York,06,179684485,71158757
36,005,00974101,0500000US36005,36005,Bronx,Bronx County,NY,New York,06,109224611,39362153
36,119,00974157,0500000US36119,36119,Westchester,Westchester County,NY,New York,06,1115568257,179637627
36,071,00974134,0500000US36071,36071,Orange,Orange County,NY,New York,06,2103893102,68032228
51,019,01674818,0500000US51019,51019,Bedford,Bedford County,VA,Virginia,06,1968660755,42062887
01,001,00161526,0500000US01001,01001,Autauga,Autauga County,AL,Alabama,06,1539634184,25674812
33,015,00873181,0500000US33015,33015,Rockingham,Rockingham County,NH,New Hampshire,06,1801055120,258626550
33,007,00873177,0500000US33007,33007,Coos,Coos County,NH,New Hampshire,06,4647923092,92546791
24,039,00596907,0500000US24039,24039,Somerset,Somerset County,MD,Maryland,06,828145301,752652868
24,037,01697853,0500000US24037,24037,St. Mary's,St. Mary's County,MD,Maryland,06,928809939,1050592561
22,051,00558027,0500000US22051,22051,Jefferson,Jefferson Parish,LA,Louisiana,15,779455288,883412483
51,159,01480164,0500000US51159,51159,Richmond,Richmond County,VA,Virginia,06,495925426,64458631
51,133,01480152,0500000US51133,51133,Northumberland,Northumberland County,VA,Virginia,06,495805446,243886813
51,057,01480118,0500000US51057,51057,Essex,Essex County,VA,Virginia,06,666494453,74795284
22,031,00558521,0500000US22031,22031,De Soto,De Soto Parish,LA,Louisiana,15,2269991655,46990189
22,029,00558515,0500000US22029,22029,Concordia,Concordia Parish,LA,Louisiana,15,1805360346,130322878
51,103,01480139,0500000US51103,51103,Lancaster,Lancaster County,VA,Virginia,06,345261477,254114185
23,003,00581287,0500000US23003,23003,Aroostook,Aroostook County,ME,Maine,06,17278035042,404869424
51,143,01480157,0500000US51143,51143,Pittsylvania,Pittsylvania County,VA,Virginia,06,2509705676,23903849
51,099,01480137,0500000US51099,51099,King George,King George County,VA,Virginia,06,465234037,21087162
22,109,00559517,0500000US22109,22109,Terrebonne,Terrebonne Parish,LA,Louisiana,15,3185305317,2207679634
24,001,01713506,0500000US24001,24001,Allegany,Allegany County,MD,Maryland,06,1093502055,14761330
24,003,01710958,0500000US24003,24003,Anne Arundel,Anne Arundel County,MD,Maryland,06,1074352780,448033952
24,029,00593907,0500000US24029,24029,Kent,Kent County,MD,Maryland,06,717497117,353321619
24,013,01696228,0500000US24013,24013,Carroll,Carroll County,MD,Maryland,06,1159355858,13112464
25,009,00606931,0500000US25009,25009,Essex,Essex County,MA,Massachusetts,06,1275623186,870158604
25,013,00606933,0500000US25013,25013,Hampden,Hampden County,MA,Massachusetts,06,1598027523,44418900
24,047,01668802,0500000US24047,24047,Worcester,Worcester County,MD,Maryland,06,1213156434,586531120
25,025,00606939,0500000US25025,25025,Suffolk,Suffolk County,MA,Massachusetts,06,150876727,160498380
37,127,01008574,0500000US37127,37127,Nash,Nash County,NC,North Carolina,06,1399742831,6174819
37,079,01008557,0500000US37079,37079,Greene,Greene County,NC,North Carolina,06,690838977,1229492
37,147,01008578,0500000US37147,37147,Pitt,Pitt County,NC,North Carolina,06,1689621009,8246941
42,101,01209187,0500000US42101,42101,Philadelphia,Philadelphia County,PA,Pennsylvania,06,347981634,21606282
42,091,01213680,0500000US42091,42091,Montgomery,Montgomery County,PA,Pennsylvania,06,1250887844,10984167
42,079,01209183,0500000US42079,42079,Luzerne,Luzerne County,PA,Pennsylvania,06,2304216457,42104537
42,095,01209185,0500000US42095,42095,Northampton,Northampton County,PA,Pennsylvania,06,957745652,19058409
42,043,01213667,0500000US42043,42043,Dauphin,Dauphin County,PA,Pennsylvania,06,1359407363,86209037
42,071,01209181,0500000US42071,42071,Lancaster,Lancaster County,PA,Pennsylvania,06,2444751632,103368819
42,013,01213659,0500000US42013,42013,Blair,Blair County,PA,Pennsylvania,06,1360458062,3294803
42,035,01214721,0500000US42035,42035,Clinton,Clinton County,PA,Pennsylvania,06,2299868386,23178644
42,055,01213670,0500000US42055,42055,Franklin,Franklin County,PA,Pennsylvania,06,2000245527,1547615
42,067,01209180,0500000US42067,42067,Juniata,Juniata County,PA,Pennsylvania,06,1013697487,5502986
44,007,01219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060552463,67870199
42,051,01209179,0500000US42051,42051,Fayette,Fayette County,PA,Pennsylvania,06,2048054606,20636363
44,009,01219782,0500000US44009,44009,Washington,Washington County,RI,Rhode Island,06,852827573,604769755
48,331,01383951,0500000US48331,48331,Milam,Milam County,TX,Texas,06,2632349427,11831398
48,163,01383867,0500000US48163,48163,Frio,Frio County,TX,Texas,06,2935753502,2193621
48,313,01383939,0500000US48313,48313,Madison,Madison County,TX,Texas,06,1207103457,16493254
48,289,01383930,0500000US48289,48289,Leon,Leon County,TX,Texas,06,2779462026,19328383
48,005,01383788,0500000US48005,48005,Angelina,Angelina County,TX,Texas,06,2066460812,173300091
01,119,00161585,0500000US01119,01119,Sumter,Sumter County,AL,Alabama,06,2340898913,24634883
48,477,01384024,0500000US48477,48477,Washington,Washington County,TX,Texas,06,1564855485,45471320
48,419,01383995,0500000US48419,48419,Shelby,Shelby County,TX,Texas,06,2060566466,101081677
48,051,01383811,0500000US48051,48051,Burleson,Burleson County,TX,Texas,06,1707015709,46043236
01,025,00161538,0500000US01025,01025,Clarke,Clarke County,AL,Alabama,06,3207494086,36657889
01,039,00161545,0500000US01039,01039,Covington,Covington County,AL,Alabama,06,2669165738,34194671
01,099,00161576,0500000US01099,01099,Monroe,Monroe County,AL,Alabama,06,2656469672,22609681
01,005,00161528,0500000US01005,01005,Barbour,Barbour County,AL,Alabama,06,2292160149,50523213
01,085,00161568,0500000US01085,01085,Lowndes,Lowndes County,AL,Alabama,06,1854651814,23271259
01,051,00161551,0500000US01051,01051,Elmore,Elmore County,AL,Alabama,06,1601945705,99781059
36,027,00974112,0500000US36027,36027,Dutchess,Dutchess County,NY,New York,06,2060721458,76913171
36,077,00974137,0500000US36077,36077,Otsego,Otsego County,NY,New York,06,2594487152,36314099
36,113,00974154,0500000US36113,36113,Warren,Warren County,NY,New York,06,2246082354,166754984
48,453,01384012,0500000US48453,48453,Travis,Travis County,TX,Texas,06,2574584400,80222169
48,039,01383805,0500000US48039,48039,Brazoria,Brazoria County,TX,Texas,06,3530999266,635436647
